2026-03-12 03:25:40 | INFO | __main__:42 | Lancement du scripte de traitement des données
2026-03-12 03:25:40 | INFO | src.extract:17 | Extraction réussie : 10000 lignes chargées.
2026-03-12 03:25:40 | INFO | src.clean:8 | Début du néttoyage des données brutes
2026-03-12 03:25:40 | INFO | src.clean:10 | Copie des données brutes efféctué
2026-03-12 03:25:40 | SUCCESS | src.clean:27 | Néttoyage des données brutes terminé avec succée
2026-03-12 03:25:40 | SUCCESS | src.clean:29 | Création du fichiers pour les données brutes néttoyés terminé : data\processed\vente_annuel_2026_nettoye_12-03-2026_03-25.csv
2026-03-12 03:25:40 | INFO | src.features:9 | Début de l'ajout des collnes de calcule supllémentaire les (features)
2026-03-12 03:25:40 | SUCCESS | src.features:64 | Fin de l'ajout des nouvelles colonnes
2026-03-12 03:25:40 | INFO | src.analysis.analysis_produit:8 | Début de l'analyse par produit
2026-03-12 03:25:40 | SUCCESS | src.analysis.analysis_produit:28 | l'analyse par produit terminé avec succée
2026-03-12 03:25:40 | INFO | src.analysis.analysis_region:11 | Début de l'analyse par Region
2026-03-12 03:25:40 | SUCCESS | src.analysis.analysis_region:29 | l'analyse par Region terminé avec succée
2026-03-12 03:25:40 | INFO | src.analysis.analysis_type_de_client:14 | Début de l'analyse par Type de Client
2026-03-12 03:25:40 | SUCCESS | src.analysis.analysis_type_de_client:32 | l'analyse par Type de Client terminé avec succée
2026-03-12 03:25:40 | INFO | src.analysis.analysis_mois:8 | Début de l'analyse par Mois
2026-03-12 03:25:40 | SUCCESS | src.analysis.analysis_mois:28 | l'analyse par Mois terminé avec succée
2026-03-12 03:25:40 | INFO | src.analysis.analysis_jour:11 | Début de l'analyse par jour
2026-03-12 03:25:40 | SUCCESS | src.analysis.analysis_jour:29 | l'analyse par jour terminé avec succée 
2026-03-12 03:25:40 | INFO | src.repport_excel:12 | Ouverture du Contexte manager
2026-03-12 03:25:40 | INFO | src.repport_excel:14 | Création du Fichier Excel
2026-03-12 03:25:41 | INFO | src.repport_excel:38 | Création de la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:42 | Application des formats sur les headers pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:44 | Fixation du header pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:46 | Application du filtrage automatique sur les headers pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Date pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Nom_Client pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Prenom_Client pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Email_Client pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Produit pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Region pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Type_Client pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Quantité pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Prix_Unitaire pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Coût_Unitaire pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Bonus_% pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:60 | Application de l'ajoutement automatique et des différents formatages sur la colonne Heure_d'achat pour la feuille Données Brutes
2026-03-12 03:25:41 | INFO | src.repport_excel:92 | Applcation des conditional format de base pour la feuille Données Brutes
2026-03-12 03:25:44 | INFO | src.repport_excel:38 | Création de la feuille Données Propre Complét
2026-03-12 03:25:44 | INFO | src.repport_excel:42 | Application des formats sur les headers pour la feuille Données Propre Complét
2026-03-12 03:25:44 | INFO | src.repport_excel:44 | Fixation du header pour la feuille Données Propre Complét
